year,state_name,dist_name,rice_area_ha,rice_production_tons,rice_yield_tph,wheat_area_ha,wheat_production_tons,wheat_yield_tph,kharif_sorghum_production_tons,rabi_sorghum_production_tons,sorghum_production_tons,pearl_millet_production_tons,maize_area_ha,maize_production_tons,maize_yield_tph,finger_millet_production_tons,groundnut_production_tons,sunflower_production_tons,soyabean_production_tons,oilseeds_area_ha,oilseeds_production_tons,oilseeds_yield_tph,sugarcane_production_tons,cotton_production_tons
1966,Chhattisgarh,Durg,462721.25,185000.0,0.33759,44000.0,20000.0,0.45455,400.0,0.0,400.0,0.0,3000.0,2000.0,0.66667,200.0,100.0,0.0,0.0,50700.0,16830.0,0.5945900000000001,1600.0,0.0
1967,Chhattisgarh,Durg,462721.25,409000.0,0.74771,50000.0,26000.0,0.52,900.0,0.0,900.0,0.0,3000.0,3000.0,1.0,200.0,100.0,0.0,0.0,113550.0,16830.0,0.5945900000000001,1200.0,0.0
1968,Chhattisgarh,Durg,462721.25,468000.0,0.84127,53700.0,30000.0,0.5586599999999999,400.0,0.0,400.0,0.0,2800.0,2000.0,0.71429,200.0,100.0,0.0,0.0,126620.0,16830.0,0.5945900000000001,1000.0,0.0
1969,Chhattisgarh,Durg,462721.25,400800.0,0.7114,49400.0,26500.0,0.53644,600.0,0.0,600.0,0.0,2700.0,2300.0,0.85185,200.0,100.0,0.0,0.0,114140.0,14900.0,0.13054,1900.0,0.0
1970,Chhattisgarh,Durg,462721.25,473600.0,0.82855,44200.0,29000.0,0.65611,600.0,0.0,600.0,0.0,2500.0,3300.0,1.32,200.0,100.0,0.0,0.0,126400.0,24300.0,0.19225,1400.0,0.0
1971,Chhattisgarh,Durg,462721.25,412900.0,0.70969,44400.0,25800.0,0.58108,200.0,0.0,200.0,0.0,2700.0,3100.0,1.14815,200.0,0.0,0.0,0.0,124200.0,20200.0,0.16263999999999998,1000.0,0.0
1972,Chhattisgarh,Durg,462721.25,381000.0,0.6544099999999999,39600.0,20600.0,0.5202,300.0,0.0,300.0,0.0,2800.0,3200.0,1.14286,100.0,0.0,0.0,0.0,123800.0,25400.0,0.20517,1000.0,0.0
1973,Chhattisgarh,Durg,462721.25,471900.0,0.7865,37300.0,18600.0,0.49866000000000005,200.0,0.0,200.0,0.0,2900.0,2700.0,0.93103,200.0,0.0,0.0,0.0,130199.99999999999,30300.0,0.23272,1200.0,0.0
1974,Chhattisgarh,Durg,462721.25,219000.0,0.37283,36500.0,22400.0,0.6137,400.0,0.0,400.0,0.0,2900.0,2900.0,1.0,300.0,0.0,0.0,0.0,96800.0,23900.0,0.2469,1500.0,0.0
1975,Chhattisgarh,Durg,462721.25,454000.0,0.75882,49200.0,27800.0,0.56504,200.0,0.0,200.0,0.0,2900.0,2900.0,1.0,200.0,0.0,0.0,0.0,131500.0,30800.0,0.23422,1400.0,0.0
1976,Chhattisgarh,Durg,462721.25,327100.0,0.55104,46900.0,10000.0,0.21322,100.0,0.0,100.0,0.0,3000.0,2000.0,0.66667,200.0,0.0,0.0,0.0,105700.0,7100.0,0.06717000000000001,800.0,0.0
1977,Chhattisgarh,Durg,462721.25,572400.0,0.95289,53100.0,27100.0,0.51036,100.0,0.0,100.0,0.0,3400.0,2800.0,0.82353,200.0,0.0,0.0,0.0,128600.0,24500.0,0.19050999999999998,300.0,0.0
1978,Chhattisgarh,Durg,462721.25,362200.0,0.59135,48700.0,25600.0,0.52567,100.0,0.0,100.0,0.0,3400.0,2900.0,0.85294,200.0,100.0,0.0,0.0,145600.0,17500.0,0.12018999999999999,200.0,0.0
1979,Chhattisgarh,Durg,462721.25,330600.0,0.53599,44600.0,17800.0,0.3991,500.0,0.0,500.0,0.0,3000.0,3600.0,1.2,200.0,200.0,0.0,0.0,102800.0,5400.0,0.05253,100.0,0.0
1980,Chhattisgarh,Durg,462721.25,515600.0,0.8121,44100.0,33600.0,0.7619,200.0,0.0,200.0,0.0,3000.0,2800.0,0.93333,200.0,200.0,0.0,0.0,113400.0,19800.0,0.1746,100.0,0.0
1981,Chhattisgarh,Durg,462721.25,506900.0,0.8046,41500.0,23600.0,0.56867,200.0,0.0,200.0,0.0,3000.0,3000.0,1.0,200.0,100.0,0.0,0.0,117100.0,15800.0,0.13493,100.0,0.0
1982,Chhattisgarh,Durg,462721.25,513299.99999999994,0.81749,41100.0,23900.0,0.58151,100.0,0.0,100.0,0.0,3000.0,3100.0,1.0333299999999999,200.0,100.0,0.0,25.0,117900.0,15900.0,0.13486,200.0,0.0
1983,Chhattisgarh,Durg,462721.25,711000.0,1.13451,39900.0,20600.0,0.5162899999999999,100.0,0.0,100.0,0.0,3000.0,3700.0,1.23333,200.0,100.0,0.0,25.0,119800.0,22400.0,0.18697999999999998,300.0,0.0
1984,Chhattisgarh,Durg,462721.25,563800.0,0.89181,40500.0,19900.0,0.49136,300.0,0.0,300.0,0.0,3600.0,4100.0,1.1388900000000002,200.0,200.0,0.0,25.0,120300.0,18100.0,0.15046,500.0,0.0
1985,Chhattisgarh,Durg,462721.25,699800.0,1.10938,39400.0,21000.0,0.53299,200.0,0.0,200.0,0.0,3800.0,3000.0,0.78947,100.0,300.0,0.0,25.0,120300.0,19000.0,0.15794,300.0,0.0
1986,Chhattisgarh,Durg,462721.25,525000.0,0.81649,37000.0,24000.0,0.64865,100.0,0.0,100.0,0.0,4000.0,3000.0,0.75,100.0,1000.0,0.0,25.0,97800.0,18600.0,0.19018000000000002,500.0,0.0
1987,Chhattisgarh,Durg,462721.25,523000.0,0.8071,43000.0,23000.0,0.53488,200.0,0.0,200.0,0.0,4000.0,3000.0,0.75,100.0,1000.0,0.0,25.0,93200.0,22400.0,0.24034,300.0,0.0
1988,Chhattisgarh,Durg,462721.25,549700.0,0.8421900000000001,43700.0,20200.0,0.46224,100.0,0.0,100.0,0.0,3800.0,4000.0,1.0526300000000002,100.0,1300.0,0.0,25.0,86100.0,15000.0,0.17421999999999999,500.0,0.0
1989,Chhattisgarh,Durg,462721.25,457300.0,0.69267,43800.0,22700.0,0.5182599999999999,100.0,0.0,100.0,0.0,3700.0,4800.0,1.2973,100.0,2800.0,0.0,25.0,74400.0,17000.0,0.22849,700.0,0.0
1990,Chhattisgarh,Durg,462721.25,774883.75,1.18143,36200.0,24800.0,0.68508,400.0,0.0,400.0,0.0,4000.0,3800.0,0.95,0.0,2900.0,0.0,25.0,84000.0,19600.0,0.23333,100.0,0.0
1991,Chhattisgarh,Durg,462721.25,773600.0,1.13631,34800.0,21600.0,0.6206900000000001,1800.0,0.0,1800.0,0.0,3800.0,3500.0,0.9210499999999999,0.0,2700.0,30.0,25.0,86400.0,26000.0,0.30093000000000003,900.0,0.0
1992,Chhattisgarh,Durg,462721.25,774883.75,1.1298,56100.0,20500.0,0.36542,1000.0,0.0,1000.0,0.0,4400.0,6000.0,1.3636400000000002,0.0,2300.0,20.0,25.0,90800.0,28200.0,0.31057,600.0,0.0
1993,Chhattisgarh,Durg,462721.25,774883.75,1.24602,33800.0,23800.0,0.70414,200.0,0.0,3600.0,10.0,3800.0,4200.0,1.10526,0.0,2600.0,70.0,25.0,124200.0,48400.0,0.38969,800.0,0.0
1994,Chhattisgarh,Durg,462721.25,774883.75,1.33173,36500.0,29400.0,0.80548,200.0,0.0,200.0,0.0,4800.0,4300.0,0.89583,0.0,1200.0,80.0,25.0,117000.0,40000.0,0.34188,700.0,0.0
1995,Chhattisgarh,Durg,462721.25,774883.75,1.45444,37100.0,26500.0,0.71429,100.0,0.0,100.0,0.0,4200.0,5600.0,1.33333,0.0,1000.0,100.0,25.0,121900.0,40000.0,0.32814,800.0,0.0
1996,Chhattisgarh,Durg,462721.25,774883.75,1.2902,36200.0,29100.0,0.80387,200.0,0.0,200.0,300.0,3200.0,4100.0,1.28125,0.0,800.0,100.0,25.0,136300.0,57600.0,0.42260000000000003,1100.0,0.0
1997,Chhattisgarh,Durg,462721.25,774883.75,1.1383699999999999,35600.0,18300.0,0.5140399999999999,100.0,0.0,100.0,0.0,3500.0,3200.0,0.9142899999999999,0.0,1400.0,100.0,25.0,149440.0,62400.0,0.41756,900.0,0.0
1998,Chhattisgarh,Durg,462721.25,684620.0,0.8704500000000001,39960.0,24840.0,0.62162,270.0,0.0,270.0,0.0,5610.0,5680.0,1.01265,0.0,1380.0,0.0,25.0,151860.0,47570.0,0.31325,2270.0,0.0
1999,Chhattisgarh,Durg,462721.25,774883.75,1.25104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3810.0,4980.0,1.3074400000000002,70.0,1380.0,125.0,25.0,108140.0,35930.0,0.33225,3430.0,0.0
2000,Chhattisgarh,Durg,462721.25,467890.0,0.62489,29900.0,17590.0,0.5881900000000001,230.0,0.0,230.0,20.0,3940.0,3120.0,0.79252,70.0,1150.0,125.0,25.0,61920.0,17340.0,0.28002999999999995,170.0,0.0
2001,Chhattisgarh,Durg,462721.25,774883.75,1.29413,34330.0,24110.0,0.70243,250.0,0.0,250.0,0.0,3900.0,2620.0,0.6722100000000001,60.0,1710.0,125.0,25.0,68510.0,22840.0,0.33341000000000004,210.0,0.0
2002,Chhattisgarh,Durg,462721.25,484900.0,0.6436000000000001,33250.0,25090.0,0.75444,210.0,0.0,210.0,0.0,3710.0,4760.0,1.2843,50.0,1670.0,125.0,25.0,61300.0,22070.0,0.35997,290.0,10.0
2003,Chhattisgarh,Durg,462721.25,774883.75,1.4947300000000001,37990.0,29580.0,0.77878,150.0,0.0,150.0,0.0,3400.0,3350.0,0.98349,80.0,1330.0,125.0,25.0,61470.0,22110.0,0.35967,410.0,50.0
2004,Chhattisgarh,Durg,462721.25,774883.75,1.2684600000000001,36430.0,23190.0,0.63648,110.0,0.0,110.0,0.0,3260.0,3870.0,1.18604,90.0,1080.0,125.0,25.0,67230.0,31950.0,0.47524,650.0,210.0
2005,Chhattisgarh,Durg,462721.25,774883.75,1.2684600000000001,36430.0,23190.0,0.63648,110.0,0.0,110.0,0.0,3260.0,3870.0,1.18604,90.0,1080.0,125.0,25.0,73670.0,38160.0,0.51797,650.0,0.0
2006,Chhattisgarh,Durg,462721.25,774883.75,1.5058099999999999,36810.0,26620.0,0.7231599999999999,150.0,0.0,150.0,0.0,5280.0,5030.0,0.95314,40.0,1040.0,125.0,25.0,88020.0,49860.0,0.56649,720.0,50.0
